,label,youtube_id,time_start,time_end,split,is_cc
87,archery,-R5E3-cmrq8,0,10,train,0
88,archery,-RZ9mL8wnJc,25,35,train,0
89,archery,-SqXDd4XIJM,32,42,train,0
90,archery,-U1ym96B9l4,10,20,train,0
91,archery,-WrKlvp_x_0,75,85,train,0
92,archery,-X2LRaGih1s,3,13,train,0
93,archery,01kR4-7DbN8,110,120,train,0
94,archery,01xStFVYC7U,11,21,train,0
95,archery,02CmwhByP5s,29,39,train,0
96,archery,03K5DawMTgg,0,10,train,0
97,archery,04aEKvl3yCM,27,37,train,0
98,archery,04RxZNFMPu0,52,62,train,0
99,archery,08b9nh7a3i8,13,23,train,0
100,archery,09QQcLIpiAM,483,493,train,0
101,archery,0cBPd-9EKeI,303,313,train,0
102,archery,0gp_HGyeBNY,3,13,train,0
103,archery,0HIBOvF_t6Q,84,94,train,0
104,archery,0iiZhWzZ9O8,693,703,train,0
105,archery,0jKJ_ZDiOCM,5,15,train,0
106,archery,0kPg9lA4i1c,99,109,train,0
107,archery,0m844gjEp7E,13,23,train,0
108,archery,0oMNrDyWUEo,2,12,train,0
109,archery,0otRfmuqZ-w,9,19,train,0
110,archery,0swIxczYQUE,98,108,train,1
111,archery,0w7jdXmsHsI,89,99,train,0
112,archery,0ZZCuBKPse8,134,144,train,0
113,archery,0_tYPHX5_oc,61,71,train,0
114,archery,10Y56qTbEVM,43,53,train,0
115,archery,11L30m7lEZA,2,12,train,0
116,archery,15ZOEgjn_n4,60,70,train,0
117,arm wrestling,-QfOEoMWe5c,14,24,train,0
118,arm wrestling,-QYKQnySHdo,48,58,train,0
119,arm wrestling,-r9l_G54K-w,8,18,train,0
120,arm wrestling,-y2bC2OepiM,35,45,train,0
121,arm wrestling,-yyMo4ck_GU,1,11,train,0
122,arm wrestling,03SGPShRRzs,3,13,train,0
123,arm wrestling,06hh8JUXUTU,0,10,train,0
124,arm wrestling,0DwdpkupKhc,42,52,train,0
125,arm wrestling,0pZ1s5PYZR0,1,11,train,0
126,arm wrestling,1ArJw2-RhSU,1,11,train,0
127,arm wrestling,1etMIbKfiUE,151,161,train,0
128,arm wrestling,1EUh1XkMyk4,259,269,train,0
129,arm wrestling,1EWRI9MJT8w,0,10,train,0
130,arm wrestling,1HXMlZ6iHbc,21,31,train,0
131,arm wrestling,1LaqzHcWJTU,31,41,train,0
132,arm wrestling,1LbPqGs5Ngs,3,13,train,0
133,arm wrestling,1Lgot3J1wFI,92,102,train,0
134,arm wrestling,1LVPrDeE8R8,2,12,train,0
135,arm wrestling,1LW9jQuYecY,39,49,train,0
136,arm wrestling,1LYbyjgFvOY,0,10,train,0
137,arm wrestling,1mGAus-9M0s,11,21,train,0
138,arm wrestling,1ooooufCJDI,133,143,train,0
139,arm wrestling,1otzAacL5S8,228,238,train,0
140,arm wrestling,1ouCLbguHlQ,108,118,train,0
141,arm wrestling,1pJ3bXO036c,24,34,train,0
142,arm wrestling,1pLh46J_1Ss,45,55,train,0
143,arm wrestling,1VxqcNu3t5U,245,255,train,0
144,arm wrestling,1wfjkxs4HuA,26,36,train,0
145,arm wrestling,27yWHIUhzAs,222,232,train,0
146,arranging flowers,0M9awkIVleg,2,12,train,0
147,arranging flowers,0oPDRp3Lgok,148,158,train,0
148,arranging flowers,0WsoNnq-GQ8,4,14,train,0
149,arranging flowers,0yYGaf_Usgk,336,346,train,0
150,arranging flowers,1gIa10wqLAc,377,387,train,0
151,arranging flowers,1nna0peWHAM,54,64,train,0
152,arranging flowers,1RdZfDTzQBs,12,22,train,0
153,arranging flowers,1X9B_wELs3A,103,113,train,0
154,arranging flowers,20TfLRKQSHQ,10,20,train,0
155,arranging flowers,26hhz_kwhMs,78,88,train,0
156,arranging flowers,28lig3RiR_Y,165,175,train,0
157,arranging flowers,2BS-8y1e4kw,955,965,train,0
158,arranging flowers,2Enq4WGffss,18,28,train,0
159,assembling computer,-w8WPKfiHB4,657,667,train,0
160,assembling computer,-ZEFTYa0ViE,47,57,train,0
161,assembling computer,06SM4ZN_maw,1390,1400,train,0
162,assembling computer,088E5GOX3xU,64,74,train,0
163,assembling computer,0bUghCx9iso,447,457,train,0
164,assembling computer,0cNBFhUAMgs,212,222,train,0
165,assembling computer,0Tyx94yZV4I,211,221,train,0
166,assembling computer,0VymE3o7ea4,310,320,train,0
167,assembling computer,0X6qcGl2zwg,28,38,train,0
168,assembling computer,1bYYox_j0wg,870,880,train,0
169,assembling computer,1C6yzC5LSNo,212,222,train,0
170,assembling computer,1eA07_MhnZU,357,367,train,0
171,auctioning,0QNaUcfF-Ak,28,38,train,0
172,auctioning,0RnnCnghS84,828,838,train,0
173,auctioning,1-5a-fncziw,15,25,train,0
174,auctioning,18ocmYhpNdY,24,34,train,0
175,auctioning,1Bt4ADs-kG4,211,221,train,0
176,auctioning,1CeODw5s6Ho,18,28,train,0
177,auctioning,1imVrO0b9GM,634,644,train,0
178,auctioning,1PqU0EXHHbo,449,459,train,0
179,auctioning,1SIcxed2Os4,233,243,train,0
180,baby waking up,-JFaLXlhemg,106,116,train,0
181,baby waking up,-klKJY6WUS8,30,40,train,0
182,baby waking up,-ld0vOqK0h0,45,55,train,0
183,baby waking up,-xS-FokoRiU,1,11,train,0
184,baby waking up,01Vehnp55l0,285,295,train,0
185,baby waking up,02RHtoAi5WM,6,16,train,0
186,baby waking up,0DrhyvFSKA0,2,12,train,0
187,baby waking up,0GnuyvLHS1I,21,31,train,0
188,baby waking up,0LJW2PARVHE,29,39,train,0
189,baby waking up,0LZDitUO1G8,46,56,train,0
190,baby waking up,0nq8BzkFTwA,0,10,train,0
191,baby waking up,0uiYRjbL-q4,18,28,train,0
192,baby waking up,0z5_sxU4DwU,2,12,train,0
193,baby waking up,17-I8As-9Vs,29,39,train,0
194,baby waking up,1A1uQf-Exsc,4,14,train,0
195,baking cookies,0Ata9VACjv8,23,33,train,0
196,baking cookies,0EpoMAmeJIw,33,43,train,0
197,baking cookies,0Gy_u05iEfQ,446,456,train,0
198,baking cookies,0IDsLy_Elno,54,64,train,0
199,baking cookies,0MLnPaVTB0s,143,153,train,0
200,baking cookies,0wphRCtKfMs,282,292,train,0
201,baking cookies,0Y4zTYoHg4Y,17,27,train,0
202,baking cookies,10YyfNp68iI,0,10,train,0
203,baking cookies,13r8qIxHPJU,94,104,train,0
204,baking cookies,15SzCQ6qCiE,65,75,train,0
205,baking cookies,1bgiMcUBDes,65,75,train,0
206,baking cookies,1btAwIjGwfs,270,280,train,0
207,baking cookies,1c1FShPyOTc,163,173,train,0
208,baking cookies,1h39wbBrWYY,259,269,train,0
209,baking cookies,1Mjxn54pu64,282,292,train,0
210,baking cookies,1mxNs9n5C-o,76,86,train,0
211,baking cookies,1pcBJSifkco,6,16,train,0
212,baking cookies,1qHIHD8yHyU,103,113,train,0
213,baking cookies,1XtdtLcNCt8,180,190,train,0
214,baking cookies,2djtbcbuhkI,22,32,train,0
215,baking cookies,2humvJMe59c,80,90,train,0
216,baking cookies,2iFfYyS7IWc,215,225,train,0
217,baking cookies,2kh-j9ma9LA,351,361,train,0
218,balloon blowing,-qYLr9Hy-j4,67,77,train,0
219,balloon blowing,-reNwipPPdQ,2,12,train,0
220,balloon blowing,-_1WRslPhMo,173,183,train,0
221,balloon blowing,06FKXtuErCc,78,88,train,0
222,balloon blowing,0cTGPt8kdp0,3,13,train,0
223,balloon blowing,0duyCnchMvg,119,129,train,0
224,balloon blowing,0e13-uPv0DM,40,50,train,0
225,balloon blowing,0JDG_6tXpOY,50,60,train,0
226,balloon blowing,0sEiPFzx-i8,150,160,train,0
227,balloon blowing,0SOwAque_Qo,0,10,train,0
228,balloon blowing,0Wh-qGInjqo,17,27,train,0
229,balloon blowing,0zoF-wv84AI,16,26,train,0
230,balloon blowing,16H6Zj2A5J8,35,45,train,0
231,balloon blowing,1bA5-7DDrqI,85,95,train,0
232,balloon blowing,1fHdHfNqy78,18,28,train,0
233,balloon blowing,1K3mdBvBjMc,120,130,train,0
234,balloon blowing,1O1zjet7AJw,34,44,train,0
235,balloon blowing,1vU2dYjFkTs,16,26,train,0
236,balloon blowing,296aQGTJqYU,100,110,train,0
237,balloon blowing,2CNsG98G6eI,57,67,train,0
238,bandaging,-oww2bPbZIE,189,199,train,0
239,bandaging,-QspPN2hnRQ,108,118,train,0
240,bandaging,-R5bm4G2SpQ,112,122,train,0
241,bandaging,-X7BUQa7Dr0,422,432,train,0
242,bandaging,-XWHqiqxDGs,92,102,train,0
243,bandaging,-yxTlI3pqD0,72,82,train,0
244,bandaging,03mk_KF1tEc,176,186,train,0
245,bandaging,0bLehW9HFsU,212,222,train,0
246,bandaging,0ehjV7Oog3c,400,410,train,0
247,bandaging,0LpGDkiyvaQ,85,95,train,0
248,bandaging,0lyAtixAMGE,8,18,train,0
249,bandaging,0M7duRovxvI,55,65,train,0
250,bandaging,0Q_eAW6y0Vg,64,74,train,0
251,barbequing,0bN6zUGOehM,28,38,train,0
252,barbequing,0Dojim48qeg,3,13,train,0
253,barbequing,0EFxOj0mLF0,1,11,train,0
254,barbequing,0FYtENQd_DU,46,56,train,0
255,barbequing,0g-1i2ZSnwU,124,134,train,0
256,barbequing,0Jzz8XkT5i4,8,18,train,0
257,barbequing,0lagazoJNl4,13,23,train,0
258,barbequing,0n7pCDumJXs,508,518,train,0
259,barbequing,0OpeXEmne1o,6,16,train,0
260,barbequing,0qZT35lsw14,153,163,train,0
261,barbequing,0y8Ni1jXW-Y,80,90,train,0
262,barbequing,0ZG-My3jUow,93,103,train,0
263,barbequing,12TmAxGMAHc,31,41,train,0
264,barbequing,13ba6HzNUlk,0,10,train,0
265,barbequing,19ZQ1IG5r_k,0,10,train,0
266,barbequing,1bM_yDcYJwo,24,34,train,0
267,barbequing,1l3uTCM7NPo,1,11,train,0
268,barbequing,1N4r0OeZ6b8,3,13,train,0
269,barbequing,1rjBNrQvRcI,44,54,train,0
270,barbequing,1tmPfwetaRs,247,257,train,0
271,barbequing,1uas6FK84SU,620,630,train,0
272,barbequing,1xI1lrRuDkQ,85,95,train,0
273,barbequing,1y4eRnvbTZI,74,84,train,0
274,barbequing,1zPpIXcOuTI,9,19,train,0
275,barbequing,20LuZP8DOEo,31,41,train,0
276,barbequing,21BlEfGofzQ,16,26,train,0
277,barbequing,22VXRSH_gBw,86,96,train,0
278,barbequing,27gVteY743o,238,248,train,0
279,bartending,0m_UI3CoDtM,17,27,train,0
280,bartending,0naobi8Wb18,42,52,train,0
281,bartending,0p6htXueEv4,53,63,train,0
282,bartending,0TkcgzlKlOM,189,199,train,0
283,bartending,0uDpU9YlPOI,164,174,train,0
284,bartending,17WGlE862H0,196,206,train,0
285,bartending,18En8rBDAcU,123,133,train,0
286,bartending,1aEgKEUpsKE,72,82,train,0
287,bartending,1LF4BrYt4wY,35,45,train,0
288,bartending,1OC34E87E2Y,216,226,train,0
289,bartending,1vJ7c7VuTYA,8,18,train,0
290,bartending,1vvqjBt16fs,213,223,train,0
291,bartending,2--cyRBwKig,295,305,train,0
292,beatboxing,0eROwTAExg0,2,12,train,0
293,beatboxing,0eTI0yQuPh8,17,27,train,0
294,beatboxing,0eU4Pnr10PU,1,11,train,0
295,beatboxing,0eZ0jqO8tiM,90,100,train,0
296,beatboxing,140n38HSgGc,0,10,train,1
297,beatboxing,14xZ7kRMcdk,37,47,train,0
298,beatboxing,15HlO19pWE4,0,10,train,0
299,beatboxing,15MSSr6HL14,0,10,train,0
300,beatboxing,1l7z9xryS5E,124,134,train,0
301,beatboxing,1l_eV5dBSrQ,288,298,train,0
302,beatboxing,1mBr-e6BeTU,27,37,train,0
303,beatboxing,2FcA6TwWzVI,58,68,train,0
304,beatboxing,2FI6DRHblsI,74,84,train,0
305,beatboxing,2FIhWTDJMWA,2,12,train,0
306,beatboxing,2FKauXnEyxk,0,10,train,0
307,beatboxing,2FQv88eBvdY,33,43,train,0
308,beatboxing,2FRDtlHVifo,73,83,train,0
309,beatboxing,2FXBES4D1R0,144,154,train,0
310,beatboxing,2wATSGSQcgE,39,49,train,0
311,beatboxing,35cqQRF-6s0,17,27,train,0
312,beatboxing,35e66esEhu0,22,32,train,0
313,beatboxing,35jbJY7E78A,222,232,train,0
314,beatboxing,35kMY2rxbks,29,39,train,0
315,bee keeping,-xixa4bDH-s,31,41,train,0
316,bee keeping,0FUlCKCqKSY,265,275,train,0
317,bee keeping,0k2iUE6zYc4,1,11,train,0
318,bee keeping,0NAooWbXC-E,21,31,train,0
319,bee keeping,0pDZwCFDUwc,9,19,train,0
320,bee keeping,0rAC6zx46FQ,101,111,train,0
321,bee keeping,1GbT1SBQZs0,25,35,train,0
322,bee keeping,1WOHCPQEvg0,17,27,train,0
323,bee keeping,1WOhUb-Gsb4,0,10,train,0
324,belly dancing,-vxSVUZGaok,44,54,train,0
325,belly dancing,07GWZhbkR_0,85,95,train,0
326,belly dancing,07HFe-JXPa8,4,14,train,0
327,belly dancing,0BeuFmkW5as,143,153,train,0
328,belly dancing,0EezE5Ylj-g,158,168,train,0
329,belly dancing,0EkDMT2U9W4,44,54,train,0
330,belly dancing,0JUQMnQF6mc,92,102,train,0
331,belly dancing,0k9L30-lmyg,0,10,train,0
332,belly dancing,0sCg3fIcMCA,83,93,train,0
333,belly dancing,0vAdkmqQ9f4,29,39,train,0
334,belly dancing,0vkvgDgikP0,387,397,train,0
335,belly dancing,0_ugUEZ0L38,44,54,train,0
336,belly dancing,199Og99IfiE,326,336,train,0
337,belly dancing,1AH_8mrtqnM,6,16,train,0
338,belly dancing,1bI0AiGJCWE,311,321,train,0
339,belly dancing,1dR4RFrcGNo,0,10,train,0
340,belly dancing,1envheMuhqk,207,217,train,0
341,belly dancing,1G-1ylSD8Pg,1541,1551,train,0
342,belly dancing,1glQafnTBQs,119,129,train,0
343,belly dancing,1JgF_RbKulo,106,116,train,0
344,belly dancing,1Tws7lTw_L8,784,794,train,0
345,belly dancing,1U5FczYENig,22,32,train,0
346,belly dancing,1yUgOtVKDCM,44,54,train,0
347,belly dancing,1zjHVf-iNBA,178,188,train,1
348,belly dancing,24UcgOLD9N8,0,10,train,0
349,belly dancing,2BDZwseEAfk,40,50,train,0
350,belly dancing,2bnSo404Rys,41,51,train,0
351,belly dancing,2bzrzKHyXJ0,92,102,train,0
352,belly dancing,2EJpF0UYfdw,48,58,train,0
353,bench pressing,-vtKTge4DaQ,15,25,train,0
354,bench pressing,-XFMkPXSXGU,220,230,train,0
355,bench pressing,-zRoQ6-xajE,5,15,train,0
356,bench pressing,072gdrATTyw,4,14,train,0
357,bench pressing,0cXMwdPY4iw,120,130,train,0
358,bench pressing,0gAqV7aUnsA,7,17,train,0
359,bench pressing,0kA8F7EKsOQ,13,23,train,0
360,bench pressing,0QA5xS5Zyz0,2,12,train,0
361,bench pressing,0TFR3625sTQ,20,30,train,0
362,bench pressing,0vaXU9vRtLg,1,11,train,0
363,bench pressing,0yvZ6LmjZS4,1,11,train,0
364,bench pressing,0Zz7VCtfJoE,75,85,train,0
365,bench pressing,0__sU8X-Uc0,3,13,train,0
366,bench pressing,11Kgk4IRurc,6,16,train,0
367,bench pressing,12vWZg5BdG4,4,14,train,0
368,bench pressing,13Y0Ja2EfJI,28,38,train,0
369,bench pressing,19JxrBcm-AM,104,114,train,0
370,bench pressing,1bFWbJLYvvs,3,13,train,0
371,bench pressing,1DBBN2j1GMg,4,14,train,0
372,bench pressing,1HehS1WugAk,4,14,train,0
373,bench pressing,1hQjU0zsF1M,3,13,train,0
374,bench pressing,1iqSev_QCKc,8,18,train,0
375,bench pressing,1km_v3FiHfk,6,16,train,0
376,bench pressing,1Ks-9nbi89M,15,25,train,0
377,bench pressing,1KZOaROGiAY,1,11,train,0
378,bench pressing,1mZd1kVDFW0,7,17,train,0
379,bench pressing,1QIi3NjeENY,269,279,train,0
380,bench pressing,1QTHI2zy5Co,3,13,train,0
381,bench pressing,1rGMnMEvicw,4,14,train,0
382,bending back,-Jw-OJAltNU,2,12,train,0
383,bending back,-PlgLnJOhnA,126,136,train,0
384,bending back,-qDlq3yhpAk,97,107,train,0
385,bending back,-RXhSvq-tU8,10,20,train,0
386,bending back,-Wb2tNCc3dM,133,143,train,0
387,bending back,-YP4yhEg9jg,73,83,train,0
388,bending back,05mZDSLkGQI,7,17,train,0
389,bending back,09g900aR8o8,50,60,train,0
390,bending back,0D7jfrT8xEc,16,26,train,0
391,bending back,0fNairQvNSU,11,21,train,0
392,bending back,0mfa5ahuDII,1,11,train,0
393,bending back,0R0CPQ5Bwtk,56,66,train,0
394,bending back,0RhZR_xQw3A,4,14,train,0
395,bending back,0UEMkpXlAj8,23,33,train,0
396,bending metal,-TTSwfAriM4,516,526,train,0
397,bending metal,0dadaBna6Gw,17,27,train,0
398,bending metal,0NWpLQBRySA,23,33,train,0
399,bending metal,0W1uCcHalGE,33,43,train,0
400,bending metal,0_4o1y7v3VI,260,270,train,0
401,bending metal,14r_GM2CfBI,234,244,train,0
402,bending metal,1da2O_7L0rM,21,31,train,0
403,bending metal,1Kf-MxJ0BkA,47,57,train,0
404,biking through snow,-YtMJtz0C0Y,1,11,train,0
405,biking through snow,-ZNy_J85TTc,184,194,train,0
406,biking through snow,00zydDGN6Rk,175,185,train,0
407,biking through snow,05uBgnTAgp8,159,169,train,0
408,biking through snow,09jGAA3WXDc,24,34,train,0
409,biking through snow,0cxsB8EZCMI,147,157,train,0
410,biking through snow,0d-z1vnYUoI,3,13,train,0
411,biking through snow,0dGJS1uNwDE,121,131,train,0
412,biking through snow,0JmsTLdU6uY,83,93,train,0
413,biking through snow,0lQnF7fuiyY,1,11,train,0
414,biking through snow,0NDp0DgOHxs,2,12,train,0
415,biking through snow,0QsUO2aOOhI,29,39,train,0
416,biking through snow,0RvCtBL_WNE,43,53,train,0
417,biking through snow,0ToYJ3VeXaM,2,12,train,0
418,biking through snow,0ve9o1w-9VM,13,23,train,0
419,biking through snow,10GckGlNG7Q,22,32,train,0
420,biking through snow,11i9oITK3_8,3,13,train,0
421,biking through snow,13-ByTXZHX8,3,13,train,0
422,biking through snow,15jXtI-t9dY,15,25,train,0
423,biking through snow,18NP9a02zXw,81,91,train,0
424,biking through snow,1AXDvnbOFyI,85,95,train,0
425,biking through snow,1bvzoTgPwNI,176,186,train,0
426,biking through snow,1cJotZEHIZM,89,99,train,0
427,biking through snow,1kzdjgUr0Pg,3,13,train,0
428,biking through snow,1N3g918JtAg,35,45,train,0
429,biking through snow,1OW_PUOKpiw,3,13,train,0
430,biking through snow,1Qhml-MVv9g,519,529,train,0
431,biking through snow,1QmcIR5_uX8,4,14,train,0
432,blasting sand,0IVlsp9YVyg,13,23,train,0
433,blasting sand,0j9SgbSlq4E,49,59,train,0
434,blasting sand,0k9R5jyVCGg,134,144,train,0
435,blasting sand,0Ng0LZk511Y,40,50,train,0
436,blasting sand,0RGSH8NJlVQ,105,115,train,0
437,blasting sand,0syotX_YcK0,208,218,train,0
438,blasting sand,0uygwLgVW_s,49,59,train,0
439,blasting sand,0VAKd0_clHA,169,179,train,0
440,blasting sand,0_DuJrfSw7I,97,107,train,0
441,blasting sand,0_xT0u7AfQo,170,180,train,0
442,blasting sand,1663fIopl7c,35,45,train,0
443,blasting sand,1C3pJtF0byM,66,76,train,0
444,blasting sand,1Dtq86tW7b4,227,237,train,0
445,blasting sand,1Gv4p9t4eUI,211,221,train,0
446,blasting sand,1IsnjOggg7M,187,197,train,0
447,blasting sand,1LWq84vzBRg,58,68,train,0
448,blowing glass,-YWO_P7-NgA,134,144,train,0
449,blowing glass,-zm9jykuTUM,49,59,train,0
450,blowing glass,02hWNmgR08A,52,62,train,0
451,blowing glass,05xwFfGELww,48,58,train,0
452,blowing glass,083H_yQsGHY,37,47,train,0
453,blowing glass,0gXm5BzysR4,111,121,train,0
454,blowing glass,0he9uy2JoJc,47,57,train,0
455,blowing glass,0qC_hGpIcXs,663,673,train,0
456,blowing glass,0qmlUG52KHU,9,19,train,0
457,blowing glass,0sYVr4Ad5ow,55,65,train,0
458,blowing glass,0vnq919JVJc,56,66,train,0
459,blowing glass,0XBGmSGLwp0,336,346,train,0
460,blowing glass,12KsK3TmIDY,99,109,train,0
461,blowing glass,12UwFkjyndM,4,14,train,0
462,blowing glass,150-b5Zq3To,265,275,train,0
463,blowing glass,15xfzdYYPow,117,127,train,0
464,blowing glass,18b6D7_46LU,105,115,train,0
465,blowing glass,1a12LYNpKKE,27,37,train,0
466,blowing glass,1B46-kERUq0,68,78,train,0
467,blowing glass,1eFL0vhgvPU,121,131,train,0
468,blowing glass,1f3Hm3swa-I,69,79,train,0
469,blowing glass,1FHhQ_fB8ok,139,149,train,0
470,blowing glass,1FINPJ2KR9A,4,14,train,0
471,blowing glass,1FUtCNFN7b4,141,151,train,0
472,blowing glass,1M1ObYqXegk,14,24,train,0
473,blowing glass,1NBBQHIKW_U,599,609,train,0
474,blowing glass,1oDObXRRlT8,50,60,train,0
475,blowing glass,1qIBi-G_tA8,111,121,train,0
476,blowing glass,1VCD5ZHiRtA,115,125,train,0
477,blowing glass,1XDRaemT8xk,23,33,train,0
478,blowing leaves,03KTIy44yTo,81,91,train,0
479,blowing leaves,0G5Xq1UqImY,13,23,train,0
480,blowing leaves,0LG03cbx9Vk,38,48,train,0
481,blowing leaves,0wSTL2lF3is,20,30,train,0
482,blowing leaves,12sz7NMvyfI,0,10,train,0
483,blowing leaves,16a65wnUux0,22,32,train,0
484,blowing leaves,19IJYLmcPao,106,116,train,0
485,blowing leaves,1FsdUszie6M,51,61,train,0
486,blowing nose,-rrPeji49yg,36,46,train,0
487,blowing nose,-tXpf_K2BWg,95,105,train,0
488,blowing nose,-VR7piINMZk,15,25,train,0
489,blowing nose,02zxom7lHXA,3,13,train,0
490,blowing nose,0g13Ut_1ZRs,29,39,train,0
491,blowing nose,0KqTLFQ6FTs,17,27,train,0
492,blowing nose,0m2haLS_Bcc,6,16,train,0
493,blowing nose,0Sqm8RLZTK4,14,24,train,0
494,blowing nose,0VjG9c3NxNM,1,11,train,0
495,blowing nose,181dlOYLsl4,38,48,train,0
496,blowing nose,1lDyiwMnx3w,9,19,train,0
497,blowing nose,1opLI2tv66I,45,55,train,0
498,blowing nose,1pMCV5IKjfc,0,10,train,0
499,blowing out candles,0AOBsYOqNxQ,10,20,train,0
500,blowing out candles,0AqjFxIXFSA,40,50,train,0
501,blowing out candles,0daXPAF1fxg,39,49,train,0
502,blowing out candles,0Dbqyd-mHVk,4,14,train,0
503,blowing out candles,0dl1tKbEjYU,31,41,train,0
504,blowing out candles,0DsJ7Saj2eQ,11,21,train,0
505,blowing out candles,0eQb87i18v0,17,27,train,0
506,blowing out candles,0fj7idXw3vU,34,44,train,0
507,blowing out candles,0jAW9MSfRqM,54,64,train,0
508,blowing out candles,0KNJtZdmFPI,9,19,train,0
509,blowing out candles,0kRbR1oswVg,1,11,train,0
510,blowing out candles,0MG-iN-w5UY,0,10,train,0
511,blowing out candles,0Ni3ufvqkBQ,60,70,train,0
512,blowing out candles,0P9eqN6hoOQ,1,11,train,0
513,blowing out candles,0pHUvFWkrYg,101,111,train,0
514,blowing out candles,0r8_hA-YPpg,21,31,train,0
